title,price,new,good,fair,poor,destroyed,total
12 Years A Slave,15.0,0,14,11,0,0,25
1984,15.0,0,20,9,0,0,29
A Long Way Gone,21.0,0,0,2,0,0,2
A Tale of Two Cities,10.0,0,0,23,0,0,23
A Thousand Splendid Suns,25.0,0,0,5,0,0,5
A Walk in the Woods,25.0,0,0,29,0,0,29
Algebra And Trigonometry,80.0,0,0,0,3,0,3
Algebra and Trig,80.0,0,1,18,0,0,19
All About Law,86.0,0,52,7,0,0,59
All Quiet on the Western Front ,10.0,0,19,62,50,0,131
American History,77.0,0,0,37,0,0,37
Animal Farm,18.0,0,0,144,0,0,144
Applied Mathematics 11,80.0,0,0,1,0,0,1
Brave New World,20.0,0,103,31,0,0,134
Calculus FC,47.0,0,0,66,0,0,66
Calculus Graphical,185.0,12,1,64,0,0,77
Canada In The Contemporary World ,100.0,0,34,131,34,0,199
Catholic Faith Handbook for Youth,30.0,29,0,0,0,0,29
Catholic Youth Bible,20.0,0,0,1,0,0,1
Chemistry,132.0,0,48,127,0,0,175
Complete C.S. Lewis Signature Classics,35.0,13,0,24,0,0,37
Computer Science Using C++,127.0,0,2,35,4,0,41
Death of a Salesman,20.0,0,117,13,1,0,131
Dr. Jekyll and Mr. Hyde,13.0,0,0,11,9,0,20
Dracula,15.0,0,51,4,1,0,56
Economics,119.0,0,0,3,0,0,3
Essential Elements - Baritone B.C. Book 1,15.0,0,0,0,9,0,9
Essential Elements - Bb Clarinet Book 1,15.0,0,0,0,11,0,11
Essential Elements - Bb Trumpet Book 1,15.0,0,0,0,15,0,15
Essential Elements - Eb Alto Saxophone Book 1,15.0,0,0,0,1,0,1
Essential Elements - F Horn Book 1,15.0,0,0,0,6,0,6
Essential Elements - Flute Book 1,15.0,0,0,0,13,0,13
Essential Elements - Oboe Book 1,15.0,0,0,0,1,0,1
Essential Elements - Trombone Book 1,15.0,0,0,0,15,0,15
Essential Elements - Tuba Book 1,15.0,0,0,0,8,0,8
Exploring Ethics,55.0,9,0,23,0,0,32
