title,price,new,good,fair,poor,destroyed,total
12 Years A Slave,15.0,0,14,11,0,0,25
1984,20.0,0,20,9,96,0,125
A Canticle For Leibowitz,13.0,0,0,0,101,0,101
A Long Way Gone,21.0,0,0,2,0,0,2
A Prayer For Owen Meany,25.0,0,0,0,8,0,8
A Tale of Two Cities,18.0,0,0,30,29,0,59
A Thousand Splendid Suns,25.0,0,0,5,0,0,5
A Walk in the Woods,25.0,1,0,29,0,0,30
Adventures of Huckleberry Finn,15.0,0,98,39,1,0,138
Algebra And Trigonometry,80.0,0,1,18,3,0,22
Alias Grace,25.0,0,0,21,0,0,21
All About Law,86.0,0,52,7,0,0,59
All Quiet on the Western Front,10.0,29,19,62,50,0,160
American History,77.0,0,0,37,0,0,37
Ancient Romans,45.0,0,1,0,0,0,1
Animal Farm,18.0,15,0,143,1,0,159
Applied Mathematics 11,80.0,0,0,1,0,0,1
April Raintree,20.0,18,0,0,0,0,18
Brave New World,20.0,0,103,31,11,0,145
Calculus FC,47.0,0,0,67,0,0,67
Calculus Graphical,185.0,12,1,64,0,0,77
Canada In The Contemporary World ,100.0,0,34,131,34,0,199
Catch 22,15.0,0,0,10,0,0,10
Catcher in the Rye,10.0,0,0,2,0,0,2
Catholic Faith Handbook for Youth,30.0,167,0,0,0,0,167
Chemistry,132.0,0,49,126,0,0,175
Complete C.S. Lewis Signature Classics,35.0,13,0,24,0,0,37
Computer Science Using C++,127.0,0,2,35,4,0,41
Creating a Christian Lifestyle,20.0,0,0,24,0,0,24
Crucible,10.0,0,0,15,0,0,15
Death of a Salesman,20.0,0,117,13,1,0,131
Dr. Jekyll and Mr. Hyde,13.0,30,0,11,9,0,50
Dracula,15.0,0,51,4,1,0,56
Essential Elements - Baritone B.C. Book 1,15.0,0,0,0,9,0,9
Essential Elements - Bb Clarinet Book 1,15.0,0,0,0,11,0,11
Essential Elements - Bb Trumpet Book 1,15.0,0,0,0,15,0,15
Essential Elements - Eb Alto Saxophone Book 1,15.0,0,0,0,1,0,1
Essential Elements - F Horn Book 1,15.0,0,0,0,6,0,6
Essential Elements - Flute Book 1,15.0,0,0,0,13,0,13
Essential Elements - Oboe Book 1,15.0,0,0,0,1,0,1
Essential Elements - Trombone Book 1,15.0,0,0,0,15,0,15
Essential Elements - Tuba Book 1,15.0,0,0,0,8,0,8
Essential Elements Placeholder,1.0,1,0,0,0,0,1
Exploring Ethics,55.0,9,0,23,0,0,32
Fahrenheit 451 ,15.0,0,0,55,0,0,55
Fetal Pig,63.0,0,0,79,0,0,79
Fifth Business,25.0,0,9,82,51,0,142
First Nations, Inuit and Metis Peoples,50.0,0,1,23,2,0,26
Flowers For Algernon,15.0,0,0,0,57,0,57
Foundations of Mathematics 11,80.0,0,1,45,0,0,46
Foundations of Mathematics 12,79.0,0,0,49,0,0,49
Frankenstein,13.0,0,41,1,0,0,42
French Vocabulary,26.0,0,21,27,0,0,48
Generals Die in Bed,15.0,1,0,46,0,0,47
Geographic Issues,115.0,28,31,16,139,0,214
God Bless You, Mr. Rosewater,21.0,0,0,28,0,0,28
Great Expectations,13.0,0,0,1,9,0,10
Hamlet,25.0,0,1,112,0,0,113
Heart of Darkness,13.0,0,0,5,27,0,32
Henry IV,12.0,0,5,4,7,0,16
Henry VI Part 1,23.0,0,0,0,41,0,41
Henry the Fifth,15.0,0,0,0,31,0,31
In Cold Blood,16.0,0,0,28,0,0,28
Inquiry Into Life,200.0,78,52,40,0,0,170
Into The Wild ,25.0,20,89,13,0,0,122
Intro Data Structures,50.0,1,0,1,31,0,33
Julius Caesar,13.0,0,11,27,14,0,52
King Lear,12.0,0,0,0,28,0,28
Language and Writing 10,35.0,0,0,1,0,0,1
Language and Writing 11,40.0,0,0,168,0,0,168
Leaven of Malice,15.0,0,0,0,53,0,53
Literature and Media 10,35.0,1,20,113,28,1,163
Literature and Media 11,40.0,0,0,196,7,0,203
Living Justice and Peace,25.0,0,1,135,0,0,136
Lord of the Flies,20.0,20,8,141,1,0,170
Loved One,10.0,0,2,0,0,0,2
Macbeth,25.0,26,9,35,52,0,122
MathLinks 9,63.0,0,28,55,86,0,169
MathWorks 10,68.0,0,0,8,17,0,25
MathWorks 11,67.0,0,13,16,0,0,29
MathWorks 12,68.0,0,3,15,0,0,18
Mathematics 10 WB,68.0,1,73,90,49,0,213
Mathworks 10,68.0,0,0,4,0,0,4
Mr. Nice,25.0,0,0,26,0,0,26
Mythology,15.0,25,0,12,10,0,47
Night,11.0,0,1,24,0,0,25
No Fear Shakespeare: The Tempest,10.0,0,57,0,0,0,57
Of Mice and Men,13.0,0,2,92,12,0,106
Oliver Twist,12.0,0,0,0,28,0,28
On Writing Well,25.0,0,2,31,1,0,34
